B94 ,Russia , Semi,Auto Rifle , 12.7 × 108 mm,
8045 Cougar F ,Italy , Pistol , .45 ACP,,
8357 Cougar F ,Italy , Pistol , .357 SIG,,
8000 Cougar D ,Italy , Pistol , 9 × 19 mm Parabellum; 9 × 21 mm IMI; .41 Action Express,,
8040 Cougar D ,Italy , Pistol , .40 S&W,,
8045 Cougar D ,Italy , Pistol , .45 ACP,,
8357 Cougar D ,Italy , Pistol , .357 SIG,,
8000 Mini Cougar F ,Italy , Pistol , 9 × 19 mm Parabellum,,
8040 Mini Cougar F ,Italy , Pistol , .40 S&W,,
8045 Mini cougar F ,Italy , Pistol , .45 ACP,,
9000 Series,,,,,
9000S Type F 9 mm ,Italy , Pistol , 9 × 19 mm Parabellum,,
9000S Type F .40 ,Italy , Pistol , .40 S&W,,
9000S Type D 9 mm ,Italy , Pistol , 9 × 19 mm Parabellum,,
9000S Type D .40 ,Italy , Pistol , .40 S&W,,
Px4,Storm ,Italy , Pistol , 9× 19 mm Parabellum; 9 × 21 mm IMI; .40 S&W; .45 ACP,
U22 NEOS ,Italy , Pistol , .22 LR,,
Beretta Mini Pistols,,,,,
Beretta 20 Bobcat ,Italy/US , Pistol , 6.35 mm;.25ACP,,
Beretta 21 Bobcat ,Italy/US , Pistol , .22 LR ; 6.35 mm;.25ACP,,
21A Bobcat ,Italy/US , Pistol , .22 LR ; 6.35 mm;.25ACP,,
950 Jetfire ,Italy , Pistol , .22 Short ; 6.35 mm;.25ACP,,
950B Jetfire ,Italy , Pistol , .22 Short ; 6.35 mm;.25ACP,,
950BS Jetfire ,Italy/US , Pistol , .22 Short ; 6.35 mm;.25ACP,,
3032 Tomcat ,Italy/US , Pistol , 7.65 × 17 mm;.32 ACP,,
M1919 ,Italy , Pistol , 6.35 mm;.25 ACP: Prototype,,
M1920 ,Italy , Pistol , 6.35 mm;.25 ACP,,
M1926 ,Italy , Pistol , 6.35 mm;.25 ACP,,
18,Italy/US , Pistol , 6.35 mm;.25ACP,,
19,Italy/US , Pistol , 6.35 mm;.25ACP,,
20,Italy/US , Pistol , 6.35 mm;.25ACP,,
21,Italy/US , Pistol , 6.35 mm;.25ACP,,
M1934 Pocket ,Italy , Pistol , 6.35 mm;.25 ACP,,
M318 ,Italy , Pistol , 6.35 mm;.25 ACP,,
M319 ,Italy , Pistol , 6.35 mm;.25 ACP,,
M320 ,Italy , Pistol , 6.35 mm;.25 ACP,,
M321 ,Italy , Pistol , 6.35 mm;.25 ACP,,
M418 ,Italy , Pistol , 6.35 mm;.25 ACP,,
M419 ,Italy , Pistol , 6.35 mm;.25 ACP,,
M420 ,Italy , Pistol , 6.35 mm;.25 ACP,,
M421 ,Italy , Pistol , 6.35 mm;.25 ACP,,
Beretta Revolvers,,,,,
Model 1 ,Italy , Revolver , 9 × 19 mm Parabellum; .357 Magnum,,
PR,71,Italy/Brazil , Revolver , .22 LR ; .38 Special,
Stampede ,Italy , Revolver , .45 Colt,,
Tenax ,Italy/Brazil , Revolver , .22 LR; .32; .38 Special,,
Beretta Rifles,,,,,
AR70 ,Italy , Assault Rifle , 5.56 mm NATO,,
AR70 Sport ,Italy , Semi,Auto Rifle , .222 Remington ; 5.56 mm NATO: Civilian AR70,
SC70 ,Italy , Assault Rifle , 5.56 mm NATO,,
SCS70 ,Italy , Compact Assault Rifle , 5.56 mm NATO,,
AR70/90 ,Italy , Assault Rifle , 5.56 mm NATO,,
SC70/90 ,Italy , Assault Rifle , 5.56 mm NATO,,
SCP70/90 ,Italy , Compact Assault Rifle , 5.56 mm NATO,,
SCS70/90 ,Italy , Compact Assault Rifle , 5.56 mm NATO,,
Beretta ARX,160,Italy , Assault Rifle , 5.56 mm NATO,
BM58 ,Italy , Battle Rifle , 7.62 mm NATO: Prototype,,
BM59 ,Italy , Battle Rifle , 7.62 mm NATO,,
BM59D ,Italy , Battle Rifle , 7.62 mm NATO,,
BM59GL ,Italy , Battle Rifle , 7.62 mm NATO,,
BM59 Mark I ,Italy , Battle Rifle , 7.62 mm NATO,,
BM59 Mark II ,Italy , Battle Rifle , 7.62 mm NATO,,
BM59 Mark III ,Italy , Battle Rifle , 7.62 mm NATO,,
BM59 Mark IV ,Italy , Battle Rifle , 7.62 mm NATO,,
BM59 Mark E ,Italy , Battle Rifle , 7.62 mm NATO,,
BM59 Mark Ital ,Italy , Battle Rifle , 7.62 mm NATO,,
BM59 Mark Ital,A ,Italy , Battle Rifle , 7.62 mm NATO,
BM59 Mark Ital Para ,Italy , Battle Rifle , 7.62 mm NATO,,
BM59 Mark Ital TA ,Italy , Battle Rifle , 7.62 mm NATO,,
BM59R ,Italy , Battle Rifle , 7.62 mm NATO,,
BM59SL ,Italy , Semi,Auto Rifle , 7.62 mm NATO: Civilian BM59,
BM62 ,Italy , Semi,Auto Rifle , 7.62 mm NATO: Civilian BM59,
